1696, -1112, 27332, 785, 2481
5740, 1212, 32767, 3717, 12325
14212, 12332, 24564, 4901, 32767
1020, 2228, 3908, 1296, 32767
-11988, -9012, -10792, -5720, 32767
-15812, -248, -16868, -10643, 32767
-14940, 2596, 12772, -8183, 631
-9052, 5916, 16820, 999, -10770
-16540, -1696, 9868, 5119, 2883
-16792, -232, 2632, 2335, 10413
-15552, 512, 10040, -253, -2445
-11408, 3980, 16692, 1736, -11009
-11380, -40, 11628, 2148, -4513
-15252, -1668, 8160, 1611, -392
-12856, 36, 17628, 29, -13705
-12844, -16, 13484, -1868, -13224
-13656, 2960, 6060, -4223, -13459
-7292, -976, 10072, -6381, -24798
-860, -3084, 13836, -10313, -32768
1772, -3240, 15172, -12027, -32768
6404, -6524, 27532, -7670, -32768
8628, -7012, 27828, 98, -31622
7364, 452, 18848, 6275, -12294
5552, -4276, 23536, 9423, -297
2664, -3128, 19068, 8545, 7603
756, 2260, 14612, 5452, 9445
440, 484, 15648, 2124, 5377
692, 152, 17676, 1598, 1818
1596, 172, 18624, 2195, 11
2024, 600, 18372, 2977, 417
1944, -428, 19804, 2864, 1077
1312, 520, 19304, 2301, 1663
1248, 100, 18988, 1674, 1981
1044, 80, 19828, 1762, 1885
516, 652, 19832, 2400, 1824
1240, -448, 19288, 3800, 2216
664, 992, 19596, 5188, 2169
824, 912, 18712, 5919, 2102
948, 2112, 19448, 6183, 1620
736, 3120, 18748, 5854, 1123
2992, 9116, 26524, 4549, -102
2992, 9116, 26524, 4549, -102
2216, 1648, 18356, 2894, -1206
2856, 4376, 19636, -3317, -2965
2480, 2344, 17732, -9088, -1501
2840, 564, 18288, -21107, -299
728, 2700, 18656, -32768, -451
1344, -2428, 18432, -32768, 320
1452, -6440, 13904, -32768, 1257
1744, -8760, 8448, -32768, 1713
5728, -18916, 7852, -32768, 2328
3740, -20116, 8852, -25164, 2590
3232, -17308, 6848, -12879, 3815
3576, -19244, 8020, -3235, 5015
2608, -16780, 7852, 2316, 4335
1736, -15080, 7432, 3533, 2313
2436, -16400, 9320, 3229, -259
2548, -15392, 11352, 3665, -1508
2936, -17232, 11708, 5738, -635
2488, -14788, 10672, 14859, 2272
2740, -17620, 14592, 30679, 5193
5212, -12708, 11968, 32767, 6765
2360, 6996, 10004, 32767, 5311
1040, 7380, 13644, 32767, 3489
192, 11088, 13872, 23130, 2129
1392, 8172, 16460, -1723, 1037
1920, 5504, 19344, -14310, -414
1564, 692, 19212, -15378, -206
1104, -3144, 19156, -8487, 1126
588, -2996, 19068, -669, 2044
588, -1780, 18444, 4398, 1802
744, 328, 18280, 5841, 494
844, 3052, 18532, 5093, -634
1596, 3664, 18980, 3441, -1067
1852, 2760, 19076, 1669, -770
1784, 1996, 18984, 32, -329
1896, 1832, 19092, -469, 229
1452, 1124, 18540, 737, 713
1452, 1124, 18540, 737, 713
1156, 1180, 18624, 3639, 1075
1288, 2464, 18780, 7126, 1102
940, 3724, 17380, 9038, 508
1292, 5216, 17708, 7859, -666
1744, 5828, 16812, 2239, -1952
3128, 3700, 18216, -10847, -3862
7136, 3332, 17780, -32768, -6272
4164, -1836, 8508, -32768, -4527
-224, -6236, 8344, -32768, -1022
5648, -21540, 6828, -32768, 1778
5380, -20596, 4872, -27179, 3645
6128, -23584, 4292, 179, 3483
6228, -20956, 6484, 16059, 1184
4104, -14696, 11248, 18993, -739
3900, -11016, 14496, 13932, -1583
2516, -11116, 15656, 9866, 532
4188, -13104, 15960, 10292, 3748
4156, -15564, 18424, 18062, 8318
5676, -16440, 17728, 32767, 13971
4644, -14324, 16248, 32767, 17640
-3240, 3836, 7816, 32767, 15570
-1056, 7140, 11504, 32767, 10315
-1136, 13488, 13652, 16464, 4979
-328, 8476, 16372, -3845, -734
268, 6348, 18204, -13778, -4840
412, 2664, 19700, -14203, -5885
1120, -1264, 19444, -10306, -4292
488, -1304, 19668, -6041, -1379
-56, -376, 19004, -3783, 973
-388, 32, 18604, -2659, 1891
-448, 960, 17968, -1862, 1218
-68, 1812, 18824, -924, -150
684, 1184, 19032, -97, -1078
1396, 1036, 19476, -499, -1334
1528, 696, 19532, -2011, -1155
1468, 780, 18640, -3332, -864
1392, 56, 18388, -3582, -735
1220, -228, 17740, -2773, -729
1488, -1332, 18348, -1445, -766
728, -108, 17732, 7, -492
520, 104, 17344, 1155, 49
352, 304, 18936, 2659, 602
352, 304, 18936, 2659, 602
852, -488, 18948, 3502, 766
56, 1052, 18556, 4214, 832
-80, 848, 18356, 4363, 281
196, 1540, 18628, 3717, -473
156, 2200, 18572, 2575, -1137
512, 2580, 18452, 1781, -1246
680, 2556, 18016, 1331, -1141
992, 2284, 18268, 972, -1270
1484, 1304, 19072, 590, -1533
1128, 1920, 18500, -96, -1488
1212, 872, 19312, -1433, -1145
2188, 1312, 19884, -2126, -584
2024, 1852, 20056, -2080, -262
1608, 2052, 19904, -1494, -307
